年度,縣市,用電性質,用電比例,,
2020,新竹市,其他,0.1,,
2020,嘉義市,住宅,43.76,,
2020,嘉義市,服務業,41.58,,
2020,嘉義市,機關(政府+包燈+大專院校),5.62,,
2020,嘉義市,工業,8.46,,
2020,嘉義市,其他,0.58,,
2020,澎湖縣,住宅,39.08,,
2020,澎湖縣,服務業,39.12,,
2020,澎湖縣,機關(政府+包燈+大專院校),9.99,,
2020,澎湖縣,工業,10.84,,
2020,澎湖縣,其他,0.96,,
2020,金門縣,住宅,38.68,,
2020,金門縣,服務業,35.75,,
2020,金門縣,機關(政府+包燈+大專院校),12.74,,
2020,金門縣,工業,11.84,,
2020,金門縣,其他,0.99,,
2020,連江縣,住宅,34.76,,
2020,連江縣,服務業,42.31,,
2020,連江縣,機關(政府+包燈+大專院校),12.89,,
2020,連江縣,工業,9.93,,
2020,連江縣,其他,0.11,,
2019,新北市,住宅,39.53,,
2019,新北市,服務業,28.39,,
2019,新北市,機關(政府+包燈+大專院校),3.19,,
2019,新北市,工業,28.76,,
2019,新北市,其他,0.13,,
2019,台北市,住宅,31.09,,
2019,台北市,服務業,56.09,,
2019,台北市,機關(政府+包燈+大專院校),8.69,,
2019,台北市,工業,4.07,,
2019,台北市,其他,0.06,,
2019,桃園市,住宅,16.42,,
2019,桃園市,服務業,15.22,,
2019,桃園市,機關(政府+包燈+大專院校),2.15,,
2019,桃園市,工業,66.04,,
2019,桃園市,其他,0.17,,
2019,台中市,住宅,18.46,,
2019,台中市,服務業,16.57,,
2019,台中市,機關(政府+包燈+大專院校),2.29,,
2019,台中市,工業,62.13,,
2019,台中市,其他,0.55,,
2019,台南市,住宅,14.1,,
2019,台南市,服務業,11.41,,
2019,台南市,機關(政府+包燈+大專院校),1.83,,
2019,台南市,工業,71.23,,
